fiscal_year,fiscal_quarter,received,approved,denied,pending,approval_rate_received_basis,denial_rate_received_basis,approval_rate_decided_basis,denial_rate_decided_basis,pending_share,source_report_quarter,source_file_names
2017,1,38209.000,30852.000,2032.000,56112.000,0.80745374126514695491,0.05318118767829568950,0.93820703077484490938,0.06179296922515509062,1.4685545290376613,1,ECN_1893_-_Quarterly_-_All_Forms_FY17Q1_Final.csv
2017,2,38209.000,30852.000,2032.000,56112.000,0.80745374126514695491,0.05318118767829568950,0.93820703077484490938,0.06179296922515509062,1.4685545290376613,2,Quarterly_All_Forms_FY17Q2_Final.csv
2017,3,38209.000,30852.000,2032.000,56112.000,0.80745374126514695491,0.05318118767829568950,0.93820703077484490938,0.06179296922515509062,1.4685545290376613,3,Quarterly_All_Forms_FY17Q3.csv
2017,4,38209.000,30852.000,2032.000,56105.000,0.80745374126514695491,0.05318118767829568950,0.93820703077484490938,0.06179296922515509062,1.4683713261273522,4,Quarterly_All_Forms_FY17Q4.csv
2018,1,27581.000,27753.000,2488.000,58776.000,1.00623617707842355245,0.09020702657626627026,0.91772758837340035052,0.08227241162659964948,2.1310322323338530,1,Quarterly_All_Forms_FY18Q1 (1).csv
2018,2,27581.000,27753.000,2488.000,56701.000,1.00623617707842355245,0.09020702657626627026,0.91772758837340035052,0.08227241162659964948,2.0557992821144991,2,Quarterly_All_Forms_FY18Q2.csv
2018,3,27581.000,27753.000,2488.000,56701.000,1.00623617707842355245,0.09020702657626627026,0.91772758837340035052,0.08227241162659964948,2.0557992821144991,3,Quarterly_All_Forms_FY18Q3 (1).csv
2018,4,27581.000,27753.000,2488.000,56700.000,1.00623617707842355245,0.09020702657626627026,0.91772758837340035052,0.08227241162659964948,2.0557630252710199,4,Quarterly_All_Forms_FY18Q4.csv
2019,1,38693.000,39999.000,3118.000,47821.000,1.03375287519706406844,0.08058305119789109141,0.92768513579330658441,0.07231486420669341559,1.2359083038275657,4,Quarterly_All_Forms_FY2019Q4.pdf
2019,2,28618.000,35459.000,3458.000,39080.000,1.2390453560696065,0.12083304214130966525,0.91114423002800832541,0.08885576997199167459,1.3655741141938640,4,Quarterly_All_Forms_FY2019Q4.pdf
2019,3,34684.000,33953.000,2798.000,34822.000,0.97892399953869219237,0.08067120286010840733,0.92386601725123125901,0.07613398274876874099,1.00397877984084880637,4,Quarterly_All_Forms_FY2019Q4.pdf
2019,4,40456.000,36946.000,3140.000,42188.000,0.91323907455012853470,0.07761518686968558434,0.92166841291223868682,0.07833158708776131318,1.04281194384022147518,4,Quarterly_All_Forms_FY2019Q4.pdf
2020,1,33077.000,30578.000,2683.000,45078.000,0.92444901290927230402,0.08111376485170964719,0.91933495685637834100,0.08066504314362165900,1.3628200864649152,4,Quarterly_All_Forms_FY2020Q4.pdf
2020,2,25833.000,29977.000,3064.000,40428.000,1.16041497309642705067,0.11860798203847791584,0.90726672921521745710,0.09273327078478254290,1.5649750319358959,4,Quarterly_All_Forms_FY2020Q4.pdf
2020,3,29469.000,23323.000,1798.000,47334.000,0.79144185415182055720,0.06101326818012148359,0.92842641614585406632,0.07157358385414593368,1.6062302758831314,4,Quarterly_All_Forms_FY2020Q4.pdf
2020,4,39799.000,34094.000,2084.000,51012.000,0.85665468981632704339,0.05236312470162566899,0.94239593122892365526,0.05760406877107634474,1.2817407472549562,4,Quarterly_All_Forms_FY2020Q4.pdf
2021,1,26032.000,25166.000,2667.000,47096.000,0.96673325138291333743,0.10245082974800245851,0.90417849315560665397,0.09582150684439334603,1.8091579594345421,1,Quarterly_All_Forms_FY2021Q1.pdf
2021,2,64566.000,28040.000,2662.000,83579.000,0.43428429823746244153,0.04122912988260074962,0.91329555077845091525,0.08670444922154908475,1.2944738716971781,2,Quarterly_All_Forms_FY2021Q2.pdf
2021,3,40225.000,34893.000,1964.000,89454.000,0.86744561839651957738,0.04882535736482287135,0.94671297175570447947,0.05328702824429552053,2.2238408949658173,3,Quarterly_All_Forms_FY2021Q3.pdf
2021,4,48527.000,48974.000,1896.000,88970.000,1.00921136686792919406,0.03907103262101510499,0.96272852368783172793,0.03727147631216827207,1.8334123271580769,4,Quarterly_All_Forms_FY2021Q4.csv
2022,1,42728.000,37304.000,1729.000,93837.000,0.87305747987268301816,0.04046526867627785059,0.95570414777239771475,0.04429585222760228525,2.1961477251451039,1,Quarterly_All_Forms_FY2022_Q1.csv
2022,2,41767.000,43782.000,3630.000,90647.000,1.04824382886010486748,0.08691071898867526995,0.92343710453049860795,0.07656289546950139205,2.1703019129935116,2,Quarterly_All_Forms_FY2022_Q2.csv
2022,3,42839.000,57438.000,3277.000,73761.000,1.3407876000840356,0.07649571651999346390,0.94602651733509017541,0.05397348266490982459,1.7218189033357455,3,Quarterly_All_Forms_FY2022_Q3.csv
2022,4,57746.000,83790.000,4325.000,55514.000,1.4510095937380944,0.07489696256017732830,0.95091641604721103104,0.04908358395278896896,0.96134797215391542271,4,Quarterly_All_Forms_FY2022_Q4.csv
2023,1,57506.000,61990.000,5650.000,48022.000,1.0779744722289848,0.09825061732688762912,0.91646954464813719692,0.08353045535186280308,0.83507807880916773902,1,Quarterly_All_Forms_FY2023_Q1.csv
2023,2,70661.000,67238.000,6483.000,47088.000,0.95155743620950736616,0.09174792318251935297,0.91206033558958777011,0.08793966441041222989,0.66639305982083468957,2,Quarterly_All_Forms_FY2023_Q2.csv
2023,3,77273.000,61698.000,5955.000,53006.000,0.79844188785216052179,0.07706443389023332859,0.91197729590705511951,0.08802270409294488049,0.68595757897325068264,3,quarterly_all_forms_fy2023_q3.csv
2023,4,76537.000,64953.000,6899.000,61294.000,0.84864836614970537126,0.09013940969727060115,0.90398318766353059066,0.09601681233646940934,0.80084142310255170702,4,quarterly_all_forms_fy2023_q4.csv
2024,1,54596.000,40033.522,3631.478,69978.000,0.73326840794197377097,0.06651545900798593304,0.91683320737432726440,0.08316679262567273560,1.2817422521796469,1,quarterly_all_forms_fy2024_q1.xlsx
2024,2,55567.000,42958.000,5267.000,78754.000,0.77308474454262421941,0.09478647398635881009,0.89078278900984966304,0.10921721099015033696,1.4172800403116958,2,quarterly_all_forms_fy2024_q2.xlsx
2024,3,59356.000,40142.000,5050.000,94241.000,0.67629220297863737449,0.08507985713323000202,0.88825455832890777129,0.11174544167109222871,1.5877249140777680,3,quarterly_all_forms_fy2024_q3.xlsx
2024,4,57144.000,38388.000,5951.000,108043.000,0.67177656446871062579,0.10414041719165616688,0.86578407271251043100,0.13421592728748956900,1.8907146857062859,4,quarterly_all_forms_fy2024_q4.xlsx
2025,1,57827.000,33105.000,4396.000,132938.000,0.57248344199076555934,0.07601985231812129282,0.88277645929441881550,0.11722354070558118450,2.2988915212616944,1,quarterly_all_forms_fy2025_q1.xlsx
2025,2,57947.000,36476.000,4926.000,150112.000,0.62947175867603154607,0.08500871486013080919,0.88102024056808849814,0.11897975943191150186,2.5905051167446115,2,quarterly_all_forms_fy2025_q2.xlsx
2025,3,62186.000,34794.000,6864.000,170699.000,0.55951500337696587656,0.11037854179397291995,0.83522972778337894282,0.16477027221662105718,2.7449747531598752,3,quarterly_all_forms_fy2025_q3.xlsx
2025,4,66692.000,48882.000,8710.000,180439.000,0.73295147843819348648,0.13060037185869369640,0.84876371718294207529,0.15123628281705792471,2.7055568883824147,4,quarterly_all_forms_fy2025_q4_v1.xlsx
