id,source_file_id,sheet_name,sheet_index,max_row,max_column,detected_table_type,detection_confidence,created_at
103,19,App-State,3,75,10,fy_quarter_status,0.9500,2026-05-22 20:32:16.373589
104,19,App-COB,4,195,10,fy_quarter_status,0.9500,2026-05-22 20:32:16.373589
1,1,RADP Summary,0,35,21,fy_quarter_status,0.9500,2026-05-22 19:54:18.197582
2,1,Rec-State,1,74,10,fy_quarter_status,0.9500,2026-05-22 19:54:18.197582
3,1,Rec-COB,2,204,10,fy_quarter_status,0.9500,2026-05-22 19:54:18.197582
4,1,App-State,3,77,10,fy_quarter_status,0.9500,2026-05-22 19:54:18.197582
5,1,App-COB,4,197,10,fy_quarter_status,0.9500,2026-05-22 19:54:18.197582
3370,1522,RADP Summary,0,35,21,fy_quarter_status,0.9500,2026-06-12 23:31:21.824926
3371,1522,Rec-State,1,76,10,fy_quarter_status,0.9500,2026-06-12 23:31:21.824926
3372,1522,Rec-COB,2,192,10,fy_quarter_status,0.9500,2026-06-12 23:31:21.824926
3373,1522,App-State,3,77,10,fy_quarter_status,0.9500,2026-06-12 23:31:21.824926
3374,1522,App-COB,4,186,10,fy_quarter_status,0.9500,2026-06-12 23:31:21.824926
577,125,CSV,0,33,21,fy_quarter_status,0.8500,2026-05-22 23:02:50.464728
485,101,CSV,0,343,13,preference_country,0.8500,2026-05-22 23:01:39.938661
486,102,CSV,0,58,13,preference_country,0.8500,2026-05-22 23:01:39.938661
50,10,All Countries FY24,0,59,26,preference_country,0.9500,2026-05-22 20:32:16.373589
51,10,India FY24,1,59,26,preference_country,0.9500,2026-05-22 20:32:16.373589
52,10,China FY24,2,59,27,preference_country,0.9500,2026-05-22 20:32:16.373589
85,16,China FY24,2,58,13,preference_country,0.9500,2026-05-22 20:32:16.373589
105,20,All Countries FY25,0,59,14,preference_country,0.9500,2026-05-22 20:32:16.373589
106,20,India FY25,1,59,14,preference_country,0.9500,2026-05-22 20:32:16.373589
107,20,China FY25,2,59,14,preference_country,0.9500,2026-05-22 20:32:16.373589
108,20,Philippines FY25,3,59,14,preference_country,0.9500,2026-05-22 20:32:16.373589
6,2,All Countries FY25,0,58,57,preference_country,0.9500,2026-05-22 19:54:18.197582
7,2,India FY25,1,58,14,preference_country,0.9500,2026-05-22 19:54:18.197582
8,2,China FY25,2,58,14,preference_country,0.9500,2026-05-22 19:54:18.197582
9,2,Philippines FY25,3,58,14,preference_country,0.9500,2026-05-22 19:54:18.197582
10,2,Brazil FY25,4,58,14,preference_country,0.9500,2026-05-22 19:54:18.197582
3455,1555,All Countries FY26,0,57,58,preference_country,0.9500,2026-06-12 23:31:21.824926
3456,1555,India FY26,1,57,15,preference_country,0.9500,2026-06-12 23:31:21.824926
3457,1555,China FY26,2,57,15,preference_country,0.9500,2026-06-12 23:31:21.824926
3458,1555,Philippines FY26,3,57,15,preference_country,0.9500,2026-06-12 23:31:21.824926
3459,1555,Brazil FY26,4,57,15,preference_country,0.9500,2026-06-12 23:31:21.824926
3460,1555,Vietnam 2026,5,57,15,preference_country,0.9500,2026-06-12 23:31:21.824926
2878,1262,PDF Text,0,104,1,all_forms,0.7000,2026-05-24 00:07:58.385581
1046,314,FY24Q1AllForms,0,125,47,all_forms,0.9500,2026-05-23 23:23:43.060658
1047,315,FY24Q2_All_Forms,0,125,47,all_forms,0.9500,2026-05-23 23:23:43.060658
1048,316,FY24Q3_All_Forms,0,125,47,all_forms,0.9500,2026-05-23 23:23:43.060658
1049,317,FY24Q4_All_Forms,0,124,13,all_forms,0.9500,2026-05-23 23:23:43.060658
1050,318,FY25Q1 All-Forms,0,126,13,all_forms,0.9500,2026-05-23 23:23:43.060658
78,15,RADP Summary,0,35,21,fy_quarter_status,0.9500,2026-05-22 20:32:16.373589
79,15,Rec-State,1,72,10,fy_quarter_status,0.9500,2026-05-22 20:32:16.373589
80,15,Rec-COB,2,197,10,fy_quarter_status,0.9500,2026-05-22 20:32:16.373589
81,15,App-State,3,75,10,fy_quarter_status,0.9500,2026-05-22 20:32:16.373589
296,56,CSV,0,38,21,fy_quarter_status,0.8500,2026-05-22 22:54:00.848792
297,57,CSV,0,39,21,fy_quarter_status,0.8500,2026-05-22 22:54:00.848792
56,11,RADP Summary,0,35,17,fy_quarter_status,0.9500,2026-05-22 20:32:16.373589
57,11,Rec-State,1,71,14,fy_quarter_status,0.9500,2026-05-22 20:32:16.373589
58,11,Rec-COB,2,197,14,fy_quarter_status,0.9500,2026-05-22 20:32:16.373589
59,11,App-State,3,75,19,fy_quarter_status,0.9500,2026-05-22 20:32:16.373589
60,11,App-COB,4,196,14,fy_quarter_status,0.9500,2026-05-22 20:32:16.373589
326,64,RADP Summary,0,35,17,fy_quarter_status,0.9500,2026-05-22 22:54:00.848792
327,64,Rec-State,1,71,14,fy_quarter_status,0.9500,2026-05-22 22:54:00.848792
328,64,Rec-COB,2,189,14,fy_quarter_status,0.9500,2026-05-22 22:54:00.848792
329,64,App-State,3,75,19,fy_quarter_status,0.9500,2026-05-22 22:54:00.848792
330,64,App-COB,4,192,14,fy_quarter_status,0.9500,2026-05-22 22:54:00.848792
294,54,CSV,0,327,12,preference_country,0.8500,2026-05-22 22:54:00.848792
295,55,CSV,0,422,15,preference_country,0.8500,2026-05-22 22:54:00.848792
298,58,CSV,0,426,14,preference_country,0.8500,2026-05-22 22:54:00.848792
53,10,Philippines FY24,3,59,26,preference_country,0.9500,2026-05-22 20:32:16.373589
54,10,Brazil FY24,4,59,27,preference_country,0.9500,2026-05-22 20:32:16.373589
55,10,Nigeria FY24,5,59,24,preference_country,0.9500,2026-05-22 20:32:16.373589
61,12,All_Countries_FY24,0,59,26,preference_country,0.9500,2026-05-22 20:32:16.373589
62,12,India_FY24,1,59,26,preference_country,0.9500,2026-05-22 20:32:16.373589
63,12,China_FY24,2,59,27,preference_country,0.9500,2026-05-22 20:32:16.373589
64,12,Philippines_FY24,3,59,26,preference_country,0.9500,2026-05-22 20:32:16.373589
65,12,Brazil_FY24,4,59,27,preference_country,0.9500,2026-05-22 20:32:16.373589
66,12,Nigeria_FY24,5,59,24,preference_country,0.9500,2026-05-22 20:32:16.373589
72,14,All_Countries_FY24,0,59,26,preference_country,0.9500,2026-05-22 20:32:16.373589
73,14,India_FY24,1,59,26,preference_country,0.9500,2026-05-22 20:32:16.373589
74,14,China_FY24,2,59,27,preference_country,0.9500,2026-05-22 20:32:16.373589
75,14,Philippines_FY24,3,59,26,preference_country,0.9500,2026-05-22 20:32:16.373589
76,14,Brazil_FY24,4,59,27,preference_country,0.9500,2026-05-22 20:32:16.373589
77,14,Nigeria_FY24,5,59,24,preference_country,0.9500,2026-05-22 20:32:16.373589
1051,319,FY25Q2_All_Forms,0,129,13,all_forms,0.9500,2026-05-23 23:23:43.060658
1052,320,FY25Q3_All_Forms,0,129,13,all_forms,0.9500,2026-05-23 23:23:43.060658
1053,321,FY25Q4_All_Forms,0,128,13,all_forms,0.9500,2026-05-23 23:23:43.060658
67,13,RADP_Summary,0,35,17,fy_quarter_status,0.9500,2026-05-22 20:32:16.373589
68,13,Rec_State,1,71,14,fy_quarter_status,0.9500,2026-05-22 20:32:16.373589
69,13,Rec_COB,2,189,14,fy_quarter_status,0.9500,2026-05-22 20:32:16.373589
768,172,PDF Text,0,154,1,preference_country,0.7000,2026-05-22 23:30:28.86362
82,15,App-COB,4,192,10,fy_quarter_status,0.9500,2026-05-22 20:32:16.373589
89,17,RADP Summary,0,35,21,fy_quarter_status,0.9500,2026-05-22 20:32:16.373589
90,17,Rec-State,1,72,10,fy_quarter_status,0.9500,2026-05-22 20:32:16.373589
91,17,Rec-COB,2,197,10,fy_quarter_status,0.9500,2026-05-22 20:32:16.373589
92,17,App-State,3,76,10,fy_quarter_status,0.9500,2026-05-22 20:32:16.373589
93,17,App-COB,4,196,10,fy_quarter_status,0.9500,2026-05-22 20:32:16.373589
100,19,RADP Summary,0,35,21,fy_quarter_status,0.9500,2026-05-22 20:32:16.373589
101,19,Rec-State,1,72,10,fy_quarter_status,0.9500,2026-05-22 20:32:16.373589
102,19,Rec-COB,2,199,10,fy_quarter_status,0.9500,2026-05-22 20:32:16.373589
370,72,RADP Summary,0,35,21,fy_quarter_status,0.9500,2026-05-22 22:54:00.848792
371,72,Rec-State,1,72,10,fy_quarter_status,0.9500,2026-05-22 22:54:00.848792
372,72,Rec-COB,2,201,10,fy_quarter_status,0.9500,2026-05-22 22:54:00.848792
373,72,App-State,3,75,10,fy_quarter_status,0.9500,2026-05-22 22:54:00.848792
374,72,App-COB,4,195,10,fy_quarter_status,0.9500,2026-05-22 22:54:00.848792
769,173,PDF Text,0,408,1,preference_country,0.7000,2026-05-22 23:30:28.86362
83,16,All Countries FY24,0,58,13,preference_country,0.9500,2026-05-22 20:32:16.373589
84,16,India FY24,1,58,13,preference_country,0.9500,2026-05-22 20:32:16.373589
86,16,Philippines FY24,3,58,13,preference_country,0.9500,2026-05-22 20:32:16.373589
87,16,Brazil FY24,4,58,13,preference_country,0.9500,2026-05-22 20:32:16.373589
88,16,Nigeria FY24,5,58,13,preference_country,0.9500,2026-05-22 20:32:16.373589
94,18,All Countries FY24,0,58,14,preference_country,0.9500,2026-05-22 20:32:16.373589
95,18,India FY24,1,58,14,preference_country,0.9500,2026-05-22 20:32:16.373589
96,18,China FY24,2,58,14,preference_country,0.9500,2026-05-22 20:32:16.373589
97,18,Philippines FY24,3,58,14,preference_country,0.9500,2026-05-22 20:32:16.373589
98,18,Brazil FY24,4,58,14,preference_country,0.9500,2026-05-22 20:32:16.373589
99,18,Nigeria FY24,5,58,14,preference_country,0.9500,2026-05-22 20:32:16.373589
109,20,Brazil FY25,4,59,14,preference_country,0.9500,2026-05-22 20:32:16.373589
110,20,Nigeria FY25,5,59,14,preference_country,0.9500,2026-05-22 20:32:16.373589
111,21,All Countries FY25,0,58,14,preference_country,0.9500,2026-05-22 20:32:16.373589
112,21,India FY25,1,58,14,preference_country,0.9500,2026-05-22 20:32:16.373589
113,21,China FY25,2,58,14,preference_country,0.9500,2026-05-22 20:32:16.373589
114,21,Philippines FY25,3,58,14,preference_country,0.9500,2026-05-22 20:32:16.373589
115,21,Brazil FY25,4,58,14,preference_country,0.9500,2026-05-22 20:32:16.373589
116,21,Nigeria FY25,5,58,14,preference_country,0.9500,2026-05-22 20:32:16.373589
11,2,Vietnam 2025,5,58,14,preference_country,0.9500,2026-05-22 19:54:18.197582
70,13,App_State,3,75,19,fy_quarter_status,0.9500,2026-05-22 20:32:16.373589
71,13,App_COB,4,192,14,fy_quarter_status,0.9500,2026-05-22 20:32:16.373589
487,103,CSV,0,35,21,fy_quarter_status,0.8500,2026-05-22 23:01:39.938661
45,9,RADP Summary,0,35,17,fy_quarter_status,0.9500,2026-05-22 20:32:16.373589
46,9,Rec-State,1,72,14,fy_quarter_status,0.9500,2026-05-22 20:32:16.373589
47,9,Rec-COB,2,203,14,fy_quarter_status,0.9500,2026-05-22 20:32:16.373589
912,248,CSV,0,79,85,all_forms,0.8500,2026-05-23 23:23:43.060658
913,249,CSV,0,34,21,fy_quarter_status,0.8500,2026-05-23 23:23:43.060658
940,256,CSV,0,217,19,country_category,0.8500,2026-05-23 23:23:43.060658
942,258,CSV,0,215,19,country_category,0.8500,2026-05-23 23:23:43.060658
943,259,CSV,0,220,19,country_category,0.8500,2026-05-23 23:23:43.060658
945,261,CSV,0,216,19,country_category,0.8500,2026-05-23 23:23:43.060658
947,263,CSV,0,202,10,country_category,0.8500,2026-05-23 23:23:43.060658
948,264,CSV,0,197,10,country_category,0.8500,2026-05-23 23:23:43.060658
949,265,CSV,0,191,10,country_category,0.8500,2026-05-23 23:23:43.060658
950,266,CSV,0,199,10,country_category,0.8500,2026-05-23 23:23:43.060658
951,267,CSV,0,35,17,fy_quarter_status,0.8500,2026-05-23 23:23:43.060658
952,268,CSV,0,198,10,country_category,0.8500,2026-05-23 23:23:43.060658
964,272,PDF Text,0,288,1,preference_country,0.7000,2026-05-23 23:23:43.060658
965,273,PDF Text,0,297,1,preference_country,0.7000,2026-05-23 23:23:43.060658
971,279,CSV,0,58,13,preference_country,0.8500,2026-05-23 23:23:43.060658
1020,288,CSV,0,79,83,all_forms,0.8500,2026-05-23 23:23:43.060658
1021,289,CSV,0,76,21,all_forms,0.8500,2026-05-23 23:23:43.060658
1022,290,CSV,0,79,83,all_forms,0.8500,2026-05-23 23:23:43.060658
1023,291,CSV,0,79,83,all_forms,0.8500,2026-05-23 23:23:43.060658
1024,292,CSV,0,77,21,all_forms,0.8500,2026-05-23 23:23:43.060658
1025,293,CSV,0,81,83,all_forms,0.8500,2026-05-23 23:23:43.060658
1026,294,CSV,0,81,83,all_forms,0.8500,2026-05-23 23:23:43.060658
1027,295,CSV,0,79,21,all_forms,0.8500,2026-05-23 23:23:43.060658
1028,296,CSV,0,88,83,all_forms,0.8500,2026-05-23 23:23:43.060658
1029,297,PDF Text,0,100,1,all_forms,0.7000,2026-05-23 23:23:43.060658
1030,298,PDF Text,0,94,1,all_forms,0.7000,2026-05-23 23:23:43.060658
1031,299,PDF Text,0,103,1,all_forms,0.7000,2026-05-23 23:23:43.060658
1032,300,PDF Text,0,111,1,all_forms,0.7000,2026-05-23 23:23:43.060658
1033,301,PDF Text,0,109,1,all_forms,0.7000,2026-05-23 23:23:43.060658
1034,302,PDF Text,0,125,1,all_forms,0.7000,2026-05-23 23:23:43.060658
1035,303,PDF Text,0,124,1,all_forms,0.7000,2026-05-23 23:23:43.060658
1036,304,PDF Text,0,187,1,all_forms,0.7000,2026-05-23 23:23:43.060658
1037,305,CSV,0,112,47,all_forms,0.8500,2026-05-23 23:23:43.060658
1038,306,CSV,0,114,13,all_forms,0.8500,2026-05-23 23:23:43.060658
1039,307,CSV,0,121,47,all_forms,0.8500,2026-05-23 23:23:43.060658
1040,308,CSV,0,121,13,all_forms,0.8500,2026-05-23 23:23:43.060658
1041,309,CSV,0,123,47,all_forms,0.8500,2026-05-23 23:23:43.060658
1042,310,CSV,0,119,13,all_forms,0.8500,2026-05-23 23:23:43.060658
1043,311,CSV,0,132,47,all_forms,0.8500,2026-05-23 23:23:43.060658
1044,312,CSV,0,128,13,all_forms,0.8500,2026-05-23 23:23:43.060658
1045,313,CSV,0,128,13,all_forms,0.8500,2026-05-23 23:23:43.060658
48,9,App-State,3,75,19,fy_quarter_status,0.9500,2026-05-22 20:32:16.373589
49,9,App-COB,4,197,14,fy_quarter_status,0.9500,2026-05-22 20:32:16.373589
488,104,CSV,0,58,13,preference_country,0.8500,2026-05-22 23:01:39.938661
