,,,,,,,,,,,,,,,,,,,
Number of Form I-140 Immigrant Petition for Alien Worker,,,,,,,,,,,,,,,,,,,
Approvals by Fiscal Year and Employment-Based Preference,,,,,,,,,,,,,,,,,,,
For Top Ten Countries and Rest of the World Each Year,,,,,,,,,,,,,,,,,,,
Fiscal Years 2017 to 2022 (Q1-Q2),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,, Employment Based Preference Category ,,,,,,,,,,,,,,,
,,First Preference (EB1),,            Second Preference (EB2),,,Third Preference (EB3),,,,,,,,,,,,
Fiscal Year and Country,Alien of Extraordinary Ability (E11),Outstanding Professor or Researcher (E12),Multi-national Executive or Manager (E13),"Mem of Profession w/Adv Deg, or of Exceptional Ability (E21)",Indiv w/Adv Deg or Exceptional Ability in the National Interest (NIW),Skilled Worker (E31),Professionals with Baccalaureate Degrees (E32),Needed Unskilled Workers (EW3), Total ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
TOTAL," 32,383 "," 18,146 "," 63,112 "," 323,104 "," 44,507 "," 77,834 "," 136,283 "," 28,469 "," 723,838 ",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Fiscal Year 2017," 8,341 "," 3,695 "," 11,580 "," 58,178 "," 5,349 "," 11,132 "," 16,820 "," 2,635 "," 117,730 ",,,,,,,,,,
INDIA," 1,300 "," 1,085 "," 4,814 "," 39,833 ", 564 ," 4,234 "," 5,117 ", 26 ," 56,973 ",,,,,,,,,,
CHINA," 2,754 "," 1,308 ", 695 ," 5,564 ", 660 , 310 ," 3,586 ", 84 ," 14,961 ",,,,,,,,,,
"KOREA, SOUTH", 213 , 106 , 274 ," 1,163 ", 789 ," 1,016 "," 1,127 "," 1,068 "," 5,756 ",,,,,,,,,,
PHILIPPINES, 17 , 7 , 62 , 767 , 31 ," 1,546 ", 587 , 262 ," 3,279 ",,,,,,,,,,
UNITED KINGDOM, 421 , 80 , 820 , 424 , 56 , 198 , 264 , 10 ," 2,273 ",,,,,,,,,,
MEXICO, 84 , 24 , 464 , 560 , 36 , 222 , 572 , 309 ," 2,271 ",,,,,,,,,,
CANADA, 289 , 92 , 395 , 694 , 75 , 268 , 393 , 8 ," 2,214 ",,,,,,,,,,
BRAZIL, 281 , 40 , 550 , 308 , 89 , 171 , 320 , 46 ," 1,805 ",,,,,,,,,,
IRAN, 195 , 63 , 16 , 428 , 811 , 64 , 141 , 33 ," 1,751 ",,,,,,,,,,
FRANCE, 184 , 63 , 339 , 432 , 71 , 84 , 158 , 7 ," 1,338 ",,,,,,,,,,
Rest of the World," 2,603 ", 827 ," 3,151 "," 8,005 "," 2,167 "," 3,019 "," 4,555 ", 782 ," 25,109 ",,,,,,,,,,
Fiscal Year 2018," 7,362 "," 3,776 "," 16,202 "," 62,655 "," 7,963 "," 11,696 "," 17,921 "," 3,204 "," 130,779 ",,,,,,,,,,
INDIA," 1,287 "," 1,216 "," 6,876 "," 41,214 ", 795 ," 3,133 "," 4,691 ", 18 ," 59,230 ",,,,,,,,,,
CHINA," 2,387 "," 1,361 "," 1,073 "," 7,382 ", 934 , 383 ," 3,811 ", 75 ," 17,406 ",,,,,,,,,,
"KOREA, SOUTH", 206 , 84 , 318 ," 1,171 "," 1,148 ", 885 ," 1,218 ", 926 ," 5,956 ",,,,,,,,,,
PHILIPPINES, 17 , 1 , 120 , 622 , 45 ," 2,134 ", 561 , 287 ," 3,787 ",,,,,,,,,,
MEXICO, 59 , 24 , 539 , 642 , 76 , 320 , 788 , 448 ," 2,896 ",,,,,,,,,,
CANADA, 219 , 91 , 536 , 883 , 94 , 267 , 516 , 12 ," 2,618 ",,,,,,,,,,
UNITED KINGDOM, 337 , 60 ," 1,162 ", 427 , 93 , 234 , 282 , 22 ," 2,617 ",,,,,,,,,,
BRAZIL, 344 , 28 , 778 , 445 , 204 , 211 , 425 , 82 ," 2,517 ",,,,,,,,,,
IRAN, 106 , 55 , 31 , 508 ," 1,245 ", 59 , 143 , 47 ," 2,194 ",,,,,,,,,,
TAIWAN, 33 , 39 , 89 , 767 , 297 , 67 , 322 , 8 ," 1,622 ",,,,,,,,,,
Rest of the World," 2,367 ", 817 ," 4,680 "," 8,594 "," 3,032 "," 4,003 "," 5,164 "," 1,279 "," 29,936 ",,,,,,,,,,
Fiscal Year 2019," 4,876 "," 3,103 "," 13,535 "," 70,196 "," 6,566 "," 15,897 "," 23,802 "," 5,779 "," 143,754 ",,,,,,,,,,
INDIA, 957 ," 1,007 "," 5,313 "," 46,565 ", 594 ," 3,925 "," 8,002 ", 55 ," 66,418 ",,,,,,,,,,
CHINA," 1,584 "," 1,152 "," 1,020 "," 9,413 ", 973 , 510 ," 4,131 ", 175 ," 18,958 ",,,,,,,,,,
PHILIPPINES, 22 , 5 , 106 , 560 , 36 ," 4,127 ", 695 , 516 ," 6,067 ",,,,,,,,,,
"KOREA, SOUTH", 106 , 54 , 318 ," 1,157 ", 865 , 889 ," 1,297 ", 909 ," 5,595 ",,,,,,,,,,
MEXICO, 45 , 7 , 479 , 727 , 56 , 476 ," 1,083 "," 1,180 "," 4,053 ",,,,,,,,,,
BRAZIL, 233 , 35 , 703 , 475 , 308 , 372 , 631 , 170 ," 2,927 ",,,,,,,,,,
CANADA, 139 , 73 , 507 , 914 , 67 , 403 , 679 , 10 ," 2,792 ",,,,,,,,,,
UNITED KINGDOM, 218 , 47 , 990 , 462 , 67 , 278 , 346 , 43 ," 2,451 ",,,,,,,,,,
IRAN, 54 , 27 , 22 , 442 ," 1,125 ", 68 , 191 , 31 ," 1,960 ",,,,,,,,,,
TAIWAN, 17 , 24 , 68 , 754 , 228 , 71 , 393 , 23 ," 1,578 ",,,,,,,,,,
Rest of the World," 1,501 ", 672 ," 4,009 "," 8,727 "," 2,247 "," 4,778 "," 6,354 "," 2,667 "," 30,955 ",,,,,,,,,,
Fiscal Year 2020," 3,430 "," 2,524 "," 12,554 "," 51,672 "," 8,927 "," 14,866 "," 16,624 "," 5,270 "," 115,867 ",,,,,,,,,,
INDIA, 742 , 825 ," 5,283 "," 34,263 ", 739 ," 3,395 "," 5,484 ", 27 ," 50,758 ",,,,,,,,,,
CHINA," 1,060 ", 976 , 857 ," 7,784 "," 1,978 ", 371 ," 3,437 ", 80 ," 16,543 ",,,,,,,,,,
PHILIPPINES, 3 , 6 , 86 , 336 , 35 ," 5,125 ", 642 , 475 ," 6,708 ",,,,,,,,,,
"KOREA, SOUTH", 80 , 30 , 286 , 760 , 895 , 613 , 791 , 523 ," 3,978 ",,,,,,,,,,
MEXICO, 43 , 12 , 447 , 490 , 63 , 330 , 676 ," 1,109 "," 3,170 ",,,,,,,,,,
BRAZIL, 169 , 34 , 738 , 371 , 617 , 300 , 442 , 250 ," 2,921 ",,,,,,,,,,
CANADA, 114 , 60 , 454 , 599 , 105 , 231 , 405 , 13 ," 1,981 ",,,,,,,,,,
IRAN, 22 , 16 , 24 , 337 ," 1,278 ", 44 , 109 , 21 ," 1,851 ",,,,,,,,,,
UNITED KINGDOM, 140 , 37 , 834 , 307 , 99 , 193 , 185 , 17 ," 1,812 ",,,,,,,,,,
TAIWAN, 16 , 13 , 47 , 530 , 226 , 62 , 266 , 12 ," 1,172 ",,,,,,,,,,
Rest of the World," 1,041 ", 515 ," 3,498 "," 5,895 "," 2,892 "," 4,202 "," 4,187 "," 2,743 "," 24,973 ",,,,,,,,,,
Fiscal Year 2021," 5,330 "," 3,211 "," 6,688 "," 48,264 "," 9,689 "," 15,262 "," 40,516 "," 6,419 "," 135,379 ",,,,,,,,,,
INDIA," 1,394 "," 1,142 "," 2,936 "," 32,390 "," 1,006 "," 4,184 "," 27,093 ", 31 ," 70,176 ",,,,,,,,,,
CHINA," 1,730 "," 1,269 ", 414 ," 6,904 "," 2,274 ", 379 ," 6,868 ", 377 ," 20,215 ",,,,,,,,,,
PHILIPPINES, 12 , 2 , 41 , 263 , 31 ," 4,870 ", 504 , 478 ," 6,201 ",,,,,,,,,,
"KOREA, SOUTH", 100 , 50 , 117 , 696 ," 1,070 ", 482 , 821 , 753 ," 4,089 ",,,,,,,,,,
BRAZIL, 233 , 36 , 389 , 413 , 920 , 387 , 339 , 503 ," 3,220 ",,,,,,,,,,
MEXICO, 46 , 11 , 227 , 446 , 49 , 233 , 605 ," 1,112 "," 2,729 ",,,,,,,,,,
IRAN, 42 , 23 , 9 , 305 ," 1,060 ", 38 , 101 , 8 ," 1,586 ",,,,,,,,,,
CANADA, 134 , 51 , 229 , 476 , 82 , 211 , 321 , 9 ," 1,513 ",,,,,,,,,,
UNITED KINGDOM, 194 , 38 , 417 , 265 , 82 , 166 , 190 , 22 ," 1,374 ",,,,,,,,,,
VIETNAM, 10 , 9 , 17 , 127 , 89 , 57 , 117 , 783 ," 1,209 ",,,,,,,,,,
Rest of the World," 1,435 ", 580 ," 1,892 "," 5,979 "," 3,026 "," 4,255 "," 3,557 "," 2,343 "," 23,067 ",,,,,,,,,,
Fiscal Year 2022 (Q1-Q2)," 3,044 "," 1,837 "," 2,553 "," 32,139 "," 6,013 "," 8,981 "," 20,600 "," 5,162 "," 80,329 ",,,,,,,,,,
INDIA, 767 , 635 , 995 ," 22,188 ", 569 ," 2,069 "," 12,680 ", 18 ," 39,921 ",,,,,,,,,,
CHINA, 923 , 746 , 140 ," 4,314 "," 1,177 ", 251 ," 3,548 ", 214 ," 11,313 ",,,,,,,,,,
PHILIPPINES, 6 , 3 , 18 , 145 , 14 ," 2,920 ", 649 , 396 ," 4,151 ",,,,,,,,,,
"KOREA, SOUTH", 63 , 23 , 57 , 429 , 537 , 277 , 448 , 737 ," 2,571 ",,,,,,,,,,
BRAZIL, 135 , 23 , 150 , 252 , 720 , 199 , 185 , 491 ," 2,155 ",,,,,,,,,,
MEXICO, 30 , 6 , 106 , 319 , 39 , 168 , 340 ," 1,067 "," 2,075 ",,,,,,,,,,
IRAN, 44 , 9 , 4 , 160 , 757 , 28 , 50 , 46 ," 1,098 ",,,,,,,,,,
CANADA, 75 , 30 , 92 , 293 , 36 , 114 , 207 , 6 , 853 ,,,,,,,,,,
NEPAL, 15 , 7 ,, 155 , 98 , 156 , 149 , 202 , 782 ,,,,,,,,,,
UNITED KINGDOM, 112 , 23 , 166 , 172 , 41 , 93 , 77 , 24 , 708 ,,,,,,,,,,
Rest of the World, 874 , 332 , 825 ," 3,712 "," 2,025 "," 2,706 "," 2,267 "," 1,961 "," 14,702 ",,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,
1) Some petitions approved may have been received in previous reporting periods.,,,,,,,,,,,,,,,,,,,
2) This report reflects the most up to date data available at the time the database is queried.,,,,,,,,,,,,,,,,,,,
3) Counts may differ from previous periods due to system updates and post-adjudicative outcomes.,,,,,,,,,,,,,,,,,,,
4) The counts of approved petitions represent only primary beneficiaries.  Dependents are not included.,,,,,,,,,,,,,,,,,,,
5) Approvals reflect the initial decision on a case. The case may have been reopened and revoked at a later date.,,,,,,,,,,,,,,,,,,,
"6) This report is based on the fiscal year in which the petition was approved, not the fiscal year in which the petition was submitted to USCIS. ",,,,,,,,,,,,,,,,,,,
"   A petition approved in a fiscal year may have been filed in an earlier year. Therefore, this report is different from other reports that are based ",,,,,,,,,,,,,,,,,,,
   on the fiscal year in which the petition was filed.,,,,,,,,,,,,,,,,,,,
"7) For a complete list of USCIS forms and descriptions, visit: https://www.uscis.gov/forms",,,,,,,,,,,,,,,,,,,
Source:,,,,,,,,,,,,,,,,,,,
"Department of Homeland Security, U.S. Citizenship and Immigration Services, Office of Performance and Quality",,,,,,,,,,,,,,,,,,,
"CLAIM3, queried 04/2022, TRK 9401",,,,,,,,,,,,,,,,,,,
