report_family,fy,q,file_name,i140_fact_rows
all_forms,2017,1,ECN_1893_-_Quarterly_-_All_Forms_FY17Q1_Final.csv,0
all_forms,2017,2,Quarterly_All_Forms_FY17Q2_Final.csv,0
all_forms,2017,3,Quarterly_All_Forms_FY17Q3.csv,0
all_forms,2017,4,Quarterly_All_Forms_FY17Q4.csv,0
all_forms,2018,1,Quarterly_All_Forms_FY18Q1 (1).csv,0
all_forms,2018,2,Quarterly_All_Forms_FY18Q2.csv,0
all_forms,2018,3,Quarterly_All_Forms_FY18Q3 (1).csv,0
all_forms,2018,4,Quarterly_All_Forms_FY18Q4.csv,0
all_forms,2019,1,Quarterly_All_Forms_FY19Q1.csv,0
all_forms,2019,2,Quarterly_All_Forms_FY19Q2.csv,0
all_forms,2019,3,Quarterly_All_Forms_FY19Q3.pdf,0
all_forms,2019,4,Quarterly_All_Forms_FY2019Q4.pdf,0
all_forms,2020,1,Quarterly_All_Forms_FY2020Q1.pdf,0
all_forms,2020,2,Quarterly_All_Forms_FY2020Q2.pdf,0
all_forms,2020,3,Quarterly_All_Forms_FY2020Q3.pdf,0
all_forms,2020,4,Quarterly_All_Forms_FY2020Q4.pdf,0
all_forms,2021,1,Quarterly_All_Forms_FY2021Q1.pdf,0
all_forms,2021,2,Quarterly_All_Forms_FY2021Q2.pdf,0
all_forms,2021,3,Quarterly_All_Forms_FY2021Q3.pdf,0
all_forms,2021,4,Quarterly_All_Forms_FY2021Q4.csv,0
all_forms,2022,1,Quarterly_All_Forms_FY2022_Q1.csv,0
all_forms,2022,2,Quarterly_All_Forms_FY2022_Q2.csv,0
all_forms,2022,3,Quarterly_All_Forms_FY2022_Q3.csv,0
all_forms,2022,4,Quarterly_All_Forms_FY2022_Q4.csv,0
all_forms,2023,1,Quarterly_All_Forms_FY2023_Q1.csv,0
all_forms,2023,2,Quarterly_All_Forms_FY2023_Q2.csv,0
all_forms,2023,3,quarterly_all_forms_fy2023_q3.csv,0
all_forms,2023,4,quarterly_all_forms_fy2023_q4.csv,0
all_forms,2024,1,quarterly_all_forms_fy2024_q1.xlsx,0
all_forms,2024,2,quarterly_all_forms_fy2024_q2.xlsx,0
all_forms,2024,3,quarterly_all_forms_fy2024_q3.xlsx,0
all_forms,2024,4,quarterly_all_forms_fy2024_q4.xlsx,0
all_forms,2025,1,quarterly_all_forms_fy2025_q1.xlsx,0
all_forms,2025,2,quarterly_all_forms_fy2025_q2.xlsx,0
all_forms,2025,3,quarterly_all_forms_fy2025_q3.xlsx,0
all_forms,2025,4,quarterly_all_forms_fy2025_q4_v1.xlsx,0
country_category,2022,3,I140_FY22_Q3_App_COB.csv,63
country_category,2022,3,I140_FY22_Q3_Rec_COB.csv,63
country_category,2022,4,I140_FY22_Q4_App_COB.csv,63
country_category,2022,4,I140_FY22_Q4_REC_COB.csv,63
country_category,2023,1,I140_FY23_Q1_REC_COB.csv,63
country_category,2023,2,I140_FY23_Q2_App_COB.csv,63
country_category,2023,2,I140_FY23_Q2_REC_COB.csv,63
country_category,2023,3,i140_fy23_q3_app_cob.csv,63
country_category,2023,3,i140_fy23_q3_rec_cob.csv,63
fy_quarter_status,2022,3,I140_FY22_Q3_RADP_Summary.csv,192
fy_quarter_status,2022,4,I140_FY22_Q4_RADP.csv,240
fy_quarter_status,2023,1,I140_FY23_Q1_RADP.csv,96
fy_quarter_status,2023,2,I-140_FY23_Q2.csv,144
fy_quarter_status,2023,3,i140_fy23_q3_radp.csv,192
fy_quarter_status,2023,4,i140_fy23_q4_radp.csv,240
fy_quarter_status,2024,1,i140_fy24_q1.xlsx,96
fy_quarter_status,2024,2,i140_fy24_q2.xlsx,144
fy_quarter_status,2024,3,i140_fy2024_q3.xlsx,144
fy_quarter_status,2024,3,i140_fy24_q3.xlsx,192
fy_quarter_status,2024,4,i140_fy2024_q4.xlsx,240
fy_quarter_status,2025,1,i140_fy2025_q1.xlsx,96
fy_quarter_status,2025,2,i140_fy2025_q2.xlsx,144
fy_quarter_status,2025,3,i140_fy2025_q3_0.xlsx,192
fy_quarter_status,2025,4,i140_fy2025_q4_v1.xlsx,240
preference_country,2019,4,I140_by_class_country_FY09_19.pdf,633
preference_country,2020,2,I140_rec_by_class_country_FY2020_Q1_Q2.pdf,1219
preference_country,2020,4,I140_rec_by_class_country_FY2020_Q3_Q4.pdf,1260
preference_country,2021,2,I140_rec_by_class_country_FY2021_Q1_Q2.pdf,1386
preference_country,2021,4,I140_rec_by_class_country_FY2021_Q3_Q4.csv,1618
preference_country,2022,2,I140_rec_by_class_country_FY2022_Q1_Q2.csv,1782
preference_country,2022,4,I140_rec_by_class_country_FY2022_Q3_Q4.csv,1584
preference_country,2023,1,I140_rec_by_class_country_FY2023_Q1.csv,1782
preference_country,2023,2,I140_rec_by_class_country_FY2023_Q1_Q2.csv,297
preference_country,2023,2,i140_rec_by_class_country_fy2023_q1_q2_q3.csv,297
preference_country,2023,4,i140_rec_by_class_country_fy2023_q4.csv,297
preference_country,2024,1,i140_rec_by_class_country_fy2024_q1.xlsx,1782
preference_country,2024,2,i140_rec_by_class_country_fy2024_q2.xlsx,1782
preference_country,2024,3,i140_rec_by_class_country_fy2024_q3.xlsx,1782
preference_country,2024,4,i140_rec_by_class_country_fy2024_q4.xlsx,1782
preference_country,2025,1,i140_rec_by_class_country_fy2025_q1.xlsx,1944
preference_country,2025,2,i140_rec_by_class_country_fy2025_q2.xlsx,2016
preference_country,2025,3,i140_rec_by_class_country_fy2025_q3.xlsx,2016
preference_country,2025,4,i140_rec_by_class_country_fy2025_q4_v1.xlsx,2016
